ID_REF,control,low_dose,high_dose
A_51_P100505,7.142666666666667,7.3854999999999995,7.030166666666666
A_51_P101283,7.200499999999999,7.226833333333334,7.009666666666667
A_51_P103069,10.075666666666669,9.991333333333333,10.021666666666667
A_51_P105908,6.355499999999999,6.2476666666666665,6.227
A_51_P107243,6.7476666666666665,6.745666666666668,6.8676666666666675
A_51_P108173,8.454666666666666,8.533499999999998,8.427166666666666
A_51_P108923,7.103500000000001,7.327333333333335,7.328166666666667
A_51_P109881,6.321666666666666,6.286666666666666,6.237333333333333
A_51_P111380,8.699333333333334,8.598666666666666,8.559166666666668
A_51_P111513,7.587,7.967,7.828499999999999
A_51_P112661,5.808666666666666,5.885666666666666,5.841833333333334
A_51_P113769,6.529833333333333,6.392666666666667,6.3389999999999995
A_51_P114236,8.5615,8.477333333333332,8.7595
A_51_P114407,7.8116666666666665,7.9253333333333345,7.814166666666666
A_51_P116157,7.248333333333334,7.130666666666667,7.208333333333333
A_51_P116665,8.145333333333332,8.330833333333333,8.184499999999998
A_51_P119100,6.010333333333333,5.996333333333332,6.015666666666667
A_51_P119588,5.8485000000000005,5.806333333333334,5.899
A_51_P119726,6.064166666666666,5.974833333333333,5.987333333333333
A_51_P120785,6.549166666666667,6.495666666666668,6.582333333333334
A_51_P122075,6.254666666666666,6.2686666666666655,6.154666666666667
A_51_P122752,6.328166666666665,6.784333333333333,7.197
A_51_P123724,8.739833333333332,8.742166666666666,8.713833333333334
A_51_P124315,6.421333333333333,6.705333333333333,6.68
A_51_P124485,6.9235,6.942833333333334,6.942666666666668
A_51_P124934,6.186166666666666,6.352333333333333,6.357
A_51_P129260,5.865833333333334,5.811,5.7940000000000005
A_51_P133310,6.015,5.820166666666666,5.932333333333333
A_51_P133618,6.069333333333334,6.194166666666667,6.235833333333333
A_51_P133819,5.869666666666666,5.806000000000001,5.886666666666667
A_51_P133953,12.247333333333332,12.47,12.415833333333333
A_51_P134294,14.231499999999999,14.187666666666665,14.248833333333332
A_51_P136848,6.313833333333332,6.222833333333333,6.358833333333333
A_51_P138132,7.224,7.180499999999999,7.140333333333333
A_51_P138807,5.890666666666667,5.664666666666666,5.780166666666667
A_51_P139620,5.9111666666666665,6.018666666666667,5.904166666666668
A_51_P139641,6.107,6.146166666666667,6.112166666666667
A_51_P139978,6.7195,6.8678333333333335,6.783833333333334
A_51_P141223,7.001666666666666,7.269833333333334,7.219833333333334
A_51_P144143,8.101833333333333,8.069666666666668,8.317833333333333
A_51_P145232,7.842999999999999,8.128333333333334,8.018666666666666
A_51_P146208,5.935666666666666,5.955166666666667,6.055000000000001
A_51_P146382,7.145166666666667,7.415666666666667,7.078333333333333
A_51_P149872,7.2364999999999995,7.306666666666666,7.417333333333333
A_51_P150145,7.506833333333333,7.600333333333334,7.796499999999999
A_51_P151070,7.715,7.3105,7.6419999999999995
A_51_P152725,8.619166666666667,8.836833333333335,8.722666666666667
A_51_P153294,5.750833333333333,5.8045,5.771166666666667
A_51_P153388,6.029,5.939333333333333,5.982
A_51_P153702,6.072333333333333,5.773333333333333,5.833166666666666
A_51_P153805,6.3773333333333335,6.524333333333334,6.604333333333333
A_51_P157250,8.328166666666666,8.410666666666666,8.525333333333332
A_51_P157737,8.823833333333335,9.0135,8.772499999999999
